note,type,value,exactMatch,partialMatch,matchValue,typeMatch
public figure / artist-painter,per,Denman Ross,,,,False
art historian,per,Pritchard,,,,False
public figure / artist-painter,per,Mr. Ross,,,,False
curator,per,Mr. Robinson,,,,False
curator,per,Mr. Robinson,,,,False
painting,misc,the Perugino,,,,False
artist-painter,per,Perugino,,,,False
accomodation,loc,Guernsey Hall,,,,False
city,loc,Princeton,,,,False
state,loc,New Jersey,,,,False
,date,"Friday, Dec. 4, 1903",,,,False
business,org,Pullman car,,,,False
state,loc,New York,exact,,New York,True
art historical adjective,misc,Cyclopean,,,,False
town,loc,San Gemignano,,,,False
scholar,per,Mrs. Marquand,,,,False
art historian,per,Mr. Marquand,,,,False
student / scholar,per,Mr. Morey,,,,False
professor,per,Freddie Pease,,,,False
accomodation,loc,Guernsey Hall,,,,False
city,loc,Princeton,,,,False
state,loc,New Jersey,,,,False
,date,"Saturday, Dec. 5, 1903",,,,False
school,loc,the college,,,,False
architect,per,Mr. Potter,,,,False
architect,per,Walter Cope,,partial,Cope,True
"school, part of",loc,Walter Cope's building,,partial,Cope,False
art historian,per,Bernhard,,,,False
scholar,per,Mrs. Marquand,,,,False
scholar,per,Mr. Marquand,,,,False
,per,Mr. Cross,,,,False
artist-writer,per,George Eliot,,,,False
accomodation,loc,Guernsey Hall,,,,False
city,loc,Princeton,,,,False
state,loc,New Jersey,,,,False
,date,"Sunday, Dec. 6, 1903",,,,False
sculpture,misc,Saint Gaudens monument,,,,False
artist-scultpor,per,Saint Gaudens,,,,False
sculpture,misc,La Farge and Lathrop (?) windows,,,,False
artist-sculptor,per,La Farge,,,,False
artist-sculptor,per,Lathrop,,,,False
professor,per,Mr. Morey,,,,False
professor,per,Mr. Pease ,,,,False
scholar,per,Mr. Butler,,,,False
landmark,loc,Orontes,,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Monday, Dec. 7, 1903",,,,False
artist-painter,per,August Jacacci,,,,False
artist-painter,per,Mr. Jacacci,,,,False
artist-painter,per,Mr. Kenyon Dox,,,,False
artist-painter,per,Mr. Jacacci,,,,False
art described by region,misc,Italian pictures,,partial,Italian,True
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Tuesday, Dec. 8, 1903",,,,False
business,loc,the Bank,,,,False
public figure,per,Mr. Garrison,,,,False
newspaper,misc,The Nation,,,,False
journalist,per,Mr. Mather,,,,False
artist-writer,per,Hutchins,,,,False
artist-writer,per,Neith,,,,False
,per,her father,,,,False
,per,her mother,,,,False
artist-writer,per,Norman,,,,False
social reformer,per,Wife,,,,False
,per,Florence Dike (Reynolds),,partial,Florence,False
,per,Bernhard,,,,False
art collector,per,Mr. Winthrop,,,,False
artist-writer,per,Norman,,,,False
artist-illustrator,per,Charles Dana Gibson,,,,False
scholar,per,George Carpenter,,,,False
state,loc,California,,,,False
country,loc,New Zealand,,,,False
continent,loc,Europe,,,,False
banker,per,Tucker Burr,,,,False
accomodation,loc,the Somerset,,,,False
,per,Mr. Berenson,,,,False
,per,Burrnarrd,,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Wednesday, Dec. 9, 1903",,,,False
art collector,per,Mr. Bullard,,,,False
article,misc,[article by Bernard Berenson],,,,False
article,misc,[article by Bernard Berenson],,,,False
magazine,misc,Burlington Magazine,,,,False
art collector,per,Francis Bullard,,,,False
accomodation,loc,a strange Settlement,,,,False
region,loc,Catskill Mountains,,,,False
public figure,per,the founder,,,,False
public figure,per,Mr. W. D. Murphy,,,,False
artist-painter,per,Mr. Kenyon Cox,,,,False
cultural,misc,portrait exhibition,,,,False
artist-writer,per,Norman,,,,False
painting,misc,the Sargents,,,,False
artist-painter,per,Sargeant,,,,False
public figure / artist-painter,per,Denman Ross,,,,False
artist-poet,per,Wordsworth,,,,False
,misc,Intimations of Immorality,,,,False
painting,misc,the Whistler,,,,False
artist-painter,per,Whistler,,,,False
city,loc,Santa Barbara,,,,False
banker,per,Mr. Ilsley,,,,False
city,loc,Milwaukee,,,,False
,per,Mrs. Hooker,,,,False
city,loc,Santa Barbara,,,,False
continent,loc,Europe,,,,False
country,loc,Italy,,,,False
city,loc,[Florence],,partial,Florence,True
region,loc,the Riviera,,,,False
city,loc,Venice,,,,False
city,loc,Munich,,,,False
city,loc,Dresden,,,,False
city,loc,Paris,,,,False
cultural,misc,Portrait Exhibition,,,,False
artist-writer,per,Norman,,,,False
artist-painter,per,Sargeant,,,,False
artist-painter,per,Mr. Kenyon Cox,,,,False
painting,misc,[painting by Kenyon Cox],,,,False
artist-sculptor,per,St. Gaudens,,,,False
sculpture,misc,[medal by Augustus St. Gaudens],,,,False
sculpture,misc,[relief by Augustus St. Gaudens],,,,False
,per,Bernhard,,,,False
cultural heritage institution,loc,Metropolitan Museum,,,,False
artist-sculptor,per,Mr. Story,,,,False
public figure,per,Cottenet,,,,False
,per,Miss Satey Fairchild,,,,False
cultural,misc,the Exhibition,,,,False
artist-composer,per,Blair,,,,False
public figure,per,Cottenet,,,,False
,per,Bernhard,,,,False
club,loc,Century Association,,,,False
businessperson,per,Sir William Van Horn,,,,False
artist-painter,per,La Farge,,,,False
,per,Mr. Carey,,,,False
artist-painter,per,Jacacci,,,,False
businessperson,per,Van Horn,,,,False
business,org,Canadian Pacific,,,,False
country,loc,Cuba,,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Thursday, Dec. 10, 1903",,,,False
,per,Bernhard,,,,False
public figure,per,Cesnola,,,,False
cultural heritage institution,loc,the Museum,,,,False
neighborhood,loc,Brooklyn,,,,False
artist-painter,per,Hamilton Field,,,,False
artist-painter,per,Roger,,,,False
artist-poet,per,Trevy,,,,False
city,loc,New York,exact,,New York,True
,per,Florence Mosher,,partial,Florence,False
art collector,per,Ned Warren,,,,False
city,loc,Boston,exact,,Boston,True
,per,Bernhard,,,,False
businessperson,per,[William Cornelius Van Horne],,,,False
artist-sculptor,per,[John La Farge],,,,False
,per,[Mr.  Carey],,,,False
artist-painter,per,[Mr.  Jaccaci],,,,False
accomodation,loc,Waldorf Astoria Hotel,,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Friday, Dec. 11, 1903",,,,False
street,loc,Fifth Avenue,,,,False
art collector,per,Mr. Bullard,,,,False
art collector,per,Mr. Grenville Winthrop,,,,False
architect,per,Mr. Hastings,,,,False
cultural heritage institution,loc,Library,,,,False
"art style, period, or movement",misc,XVIII century art,,,,False
"art style, period, or movement",misc,Beaux Arts,,,,False
historic,misc,the revolution,,,,False
artist-poet,per,Carman,,,,False
athlete,per,the Dunnes [Mr. Dunne],,,,False
,per,the Dunnes [Mrs. Dunne],,,,False
athlete,per,Mrs. Abbott,,,,False
,per,Mrs. Chapman,,,,False
art collector,per,Ned Warren,,,,False
art collector,per,Mr. Marshall,,,,False
street,loc,Irving Place,,,,False
art collector,per,Ned,,,,False
country,loc,America,,,,False
art collector,per,Ned,,,,False
city,loc,Boston,exact,,Boston,True
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Saturday, Dec. 12, 1903",,,,False
business,loc,Tiffany glass works,,,,False
,per,Bond,,,,False
,per,Bond,,,,False
cultural,misc,Christmas,,,,False
cultural,misc,Christmas,,,,False
business,org,Tiffany's,,,,False
,per,Bond,,,,False
governmental,loc,Court of Appeal,,,,False
artist-painter,per,Kenyon Cox,,,,False
mural,misc,[decorations by Kenyon Cox],,,,False
,per,Bernhard,,,,False
art historian,per,Mr. Van Dyke,,,,False
club,loc,the Century,,,,False
,per,Florence,exact,,Florence,False
,loc,the Arts,,,,False
,per,Bernhard,,,,False
,per,B.B.,,,,False
country,loc,America,,,,False
,per,Mrs. George Carpenter,,,,False
,per,Mrs. Manson,,,,False
,per,Cora Burr Harden,,,,False
,per,Bernhard,,,,False
public figure / businessman,per,Mr. Laffan,,,,False
newspaper,misc,the Sun,,,,False
artist-writer,per,Norman,,,,False
philosopher / public figure,per,the Crolys [Mr. Crolys],,,,False
,per,the Crolys [Mrs. Crolys],,,,False
artist-painter,per,Kenyon Cox,,,,False
,per,Miss Eisham,,,,False
artist-painter,per,Bernhard,,,,False
artist-painter,per,Kenyon Cox,,,,False
businessperson,per,Van Horne,,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Sunday, Dec. 13, 1903",,,,False
art collector / art dealer,per,Mr. Eugene Glaenzer,,,,False
public figure / businessman,per,Laffone,,,,False
artist-musician,per,Fuchs,,,,False
print,misc,a so-called Correggio,,,,False
artist-painter,per,Correggio,,,,False
art collector,per,Mr. Richardson,,,,False
neighborhood,loc,Flushing,,,,False
region,loc,Long Island,,,,False
artist-sculptor,per,Edith,,,,False
artist-painter / curator,per,Bryson Burroughs,,,,False
artist-writer,per,Norman,,,,False
philosopher / public figure,per,the Crolys [Mr. Crolys],,,,False
,per,the Crolys [Mrs. Crolys],,,,False
artist-painter,per,the Alexanders [Mr. Alexander],,,,False
,per,the Alexanders [Mrs. Alexander],,,,False
,per,Mr. Van Dyke,,,,False
artist-writer,per,Mr. Steffens,,,,False
,per,Mrs. Cadwallader Jones,,,,False
,per,Mrs. Sorchon,,,,False
artist-actor,per,Goellet the actor,,,,False
artist-writer,per,R.L. Stevenson,,,,False
,per,[R.L. Stevenson's widow],,,,False
artist-writer,per,her son,,,,False
social reformer ,per,Emilie,,,,False
,per,Bernhard,,,,False
,date,"Monday, Dec. 14, 1903",,,,False
city,loc,Albany,,,,False
landmark,loc,the Hudson,,,,False
,per,Mrs. Richmond,,,,False
,per,Mr. Fenimore Cooper,,,,False
artist-writer,per,the novelist,,,,False
,per,Mr. Cooper,,,,False
painting,misc,a Holbein,,,,False
artist-painter,per,Holbein,,,,False
,per,Mr. Thacker,,,,False
lecture,misc,my lecture,,,,False
,per,the Richmonds,,,,False
,per,the Richmonds [Mr. Richmond],,,,False
public figure / politial figure,per,[Mr. Parsons],,,,False
public figure / scholar,per,Mrs. Parsons,,,,False
public figure,per,the President,,,,False
governmental,loc,State Education Bureau,,,,False
city,loc,Albany,,,,False
country,loc,America,,,,False
,per,Bernhard,,,,False
art collector / art dealer,per,Glaenzer,,,,False
artist-sculptor,per,La Farge,,,,False
,per,the Chapmans [Mr.],,,,False
,per,the Chapmans [Mrs. Chapman],,,,False
artist-painter,per,Sargeant,,,,False
artist-painter,per,he,,partial,The Virginian,False
scholar,per,George Carpenter,,,,False
club,loc,the Club,,,,False
artist-sculptor,per,La Farge,,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Tuesday, Dec. 15, 1903",,,,False
artist-painter,per,Mr. Palmer,,,,False
city,loc,Albany,,,,False
,per,Miss Davidge,,,,False
,per,Bernhard,,,,False
artist-writer,per,Norman Hapgood,,,,False
,per,Jerome,,,,False
artist-writer,per,Hodder,,,,False
,per,Goelet,,,,False
businessman / public figure,per,Collier,,,,False
artist-painter,per,Alexander,,,,False
artist-writer,per,Dunne,,,,False
artist-writer / artist-illustrator,per,Herford,,,,False
artist-playwright,per,Clyde Fitch,,,,False
artist-actor,per,Miss Elsie de Wolfe,,,,False
producer,per,Miss Marbury,,,,False
artist-actor,per,Miss de Wolfe,,,,False
public figure,per,Gladys,,,,False
landmark,loc,Versailles,,,,False
,per,Bernhard,,,,False
artist-writer / artist-illustrator,per,Herford,,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Wednesday, Dec. 16, 1903",,,,False
,per,Mrs. Bullard,,,,False
,per,Mrs. Davis,,,,False
country,loc,Italy,,,,False
,per,the Young Lady,,,,False
,per,Rawlins Cottenett,,,,False
,per,Mrs. Sorchau,,,,False
bookseller,per,Mr. Robin Grey,,,,False
restaurant,loc,Sherry’s,,,,False
artist-writer,per,Neith,,,,False
art historian,per,Fenellosas [Mr. Fenellosa],,,,False
artist-writer,per,Fenellosas [Mrs. Fenellosa],,,,False
journalist,per,Steffens [Mr. Steffens],,,,False
artist-writer,per,Hodder,,,,False
artist-writer,per,Norman Hapgood,,,,False
artist-painter,per,Alexanders [Mr. Alexander],,,,False
,per,Alexanders [Mrs. Alexander],,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Thursday, Dec. 17, 1903",,,,False
,per,Bernhard,,,,False
artist-sculptor,per,Mr. Lathrop,,,,False
businessperson,per,Mr. Hyde,,,,False
athlete,per,Miss Platt,,,,False
,per,Mr. Gregory,,,,False
,per,Cottenett,,,,False
architect,per,Chapmans [Mr. Chapman],,,,False
,per,Chapmans [Mrs. Chapman],,,,False
,per,[Mr. Lawrence],,,,False
,per,Mrs. Lawrence,,,,False
cultural,misc,Concert of Old Music,,,,False
,per,Bernhard,,,,False
accomodation,loc,Hotel Plaza,,,,False
city,loc,New York,exact,,New York,True
,date,"Friday, Dec. 18, 1903",,,,False
,per,Cora Hardon,,,,False
,per,Bernhard,,,,False
public figure,per,Mr. Rhinelander,,,,False
,per,President of the Board of Trustees,,,,False
cultural heritage institution,loc,Metropolitan Meseum,,,,False
curator / public figure,per,the Curator,,,,False
curator / public figure,per,Cesnola,,,,False
proper noun adjective,misc,Italian ,,partial,Italian,True
art collector,per,Ned Warren,,,,False
sculpture,misc,David “Leonardo”,,partial,Leonardo,False
art historian,per,Mr. Richard Norton,,,,False
art collector,per,Davis,,,,False
newspaper,misc,the Nation,,,,False
,per,B. B.,,,,False
,per,Mansons [Mr. Manson],,,,False
,per,Mansons [Mrs. Manson],,,,False
,per,Mansons [Mr. Manson],,,,False
public figure / businessman,per,Mr. Laffan,,,,False
businessperson,per,[Mr. Gayley],,,,False
,per,Mrs. Gayley,,,,False
estate,loc,Tranquillity Farm,,,,False
governmental,loc,Allamuchy Post Office,,,,False
region,loc,Warren County,,,,False
state,loc,New Jersey,,,,False
,date,"Saturday, Dec. 19, 1903",,,,False
city,loc,Hackettstown,,,,False
public figure,per,[Mr. Rutherford Stuyvesant],,,,False
,per,Mrs. Rutherford Stuyvesant,,,,False
,per,Mrs. Chapman,,,,False
estate,loc,“Tranquillity Farm”,,,,False
city,loc,Allamuchy,,,,False
,per,Mrs. Rutherford Stuyvesant,,,,False
proper noun adjective,misc,French,,,,False
proper noun adjective,misc,French,,,,False
public figure,per,Mr. Stuyvesant,,,,False
public figure,per,Mr. Rutherford,,,,False
proper noun adjective,misc,English,,,,False
landmark,loc,a house near by,,,,False
estate,loc,Tranquillity Farm,,,,False
,date,"Saturday, Dec. 20, 1903",,,,False
,per,Bernhard,,,,False
public figure,per,Stuyvesants [Mr. Stuyvesant],,,,False
,per,Stuyvesants [Mrs. Stuyvesant],,,,False
historic,per,Soloman,,,,False
cultural heritage institution,loc,Museum,,,,False
,per,Mrs. Stuyvesant,,,,False
,per,Bernhard,,,,False
architect,per,Mr. Chapman,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Monday, Dec. 21, 1903",,,,False
,per,Miss Chanler,,,,False
,per,Cora Harden,,,,False
,per,Bernhard,,,,False
,per,Fafner,,,,False
,per,Bond,,,,False
,per,Josephine,,,,False
,per,Bond,,,,False
,per,Josephine,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Tuesday, Dec. 22, 1903",,,,False
businessperson,per,Mr. Yerkes,,,,False
textiles,misc,Persian rugs,,,,False
painting,misc,one or two forgeries by Costantini,,,,False
artist-painter,per,Constantini,,,,False
,per,Florence,exact,,Florence,False
,per,Mrs. Hewett,,,,False
,per,Mrs. Russell,,,,False
public figure / scholar,per,Mrs. Parsons,,,,False
,per,Mrs. (Florence Lockwood) Grant Lafarge,,partial,wood,False
,per,Mrs. Harry Wharton,,,,False
,per,Florence Mosher,,partial,Florence,False
artist-actor,per,Miss Carlyle,,,,False
artist-poet,per,Bliss Carman,,,,False
,per,Mancuse Conway,,,,False
artist-painter,per,Alexanders [Mr. Alexander],,,,False
,per,Alexanders [Mrs. Alexander],,,,False
,per,Truches [Mr. Truche],,,,False
,per,Truches [Mrs. Truche],,,,False
,per,Mrs. Jacacci,,,,False
artist-writer,per,Norman,,,,False
artist-painter,per,Kenyon Coxes [Mr. Cox],,,,False
artist-painter,per,Kenyon Coxes [Mrs. Cox],,,,False
artist-painter,per,[Mr. Isham],,,,False
,per,Miss Isham,,,,False
public figure,per,Mr. Garrison,,,,False
,per,Mrs. Kenyon Cox,,,,False
,per,Kenyon,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Wednesday, Dec. 23, 1903",,,,False
artist-actor,per,Miss de Wolfe ,,,,False
,per,Gladys,,,,False
producer,per,Miss Marbury,,,,False
,per,Mr. Gregory,,,,False
public figure,per,Marchese di San Vito,,,,False
,per,Gayleys [Mr. Gayley],,,,False
,per,Gayleys [Mrs. Gayley],,,,False
,per,B. B.,,,,False
proper noun adjective,misc,American,,,,False
,per,Mrs. Gayley,,,,False
,per,Mr. Gayley,,,,False
,per,Bernhard,,,,False
,per,Miss Bustan,,,,False
businessman / public figure,per,Carnegie,,,,False
businessman / public figure,per,Schwab,,,,False
businessman / public figure,per,Carnegie,,,,False
businessman / public figure,per,Schwab,,,,False
,per,Mrs. Gayley,,,,False
proper noun adjective,misc,American ,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Thursday, Dec. 24, 1903",,,,False
artist-writer,per,Hutchins,,,,False
artist-writer / public figure,per,Mr. Cahan,,,,False
proper noun adjective,misc,Russian,,,,False
artist-writer,per,Zangwill,,,,False
,per,Fleischer,,,,False
,per,Senda,,,,False
,per,Bessie,,,,False
,per,Bernhard,,,,False
artist-actor,per,Elsie de Wolfe,,,,False
politial figure,per,Mr. Bourke Cochran,,,,False
artist-painter,per,Prince Trowbetskoi,,,,False
,per,Amélie Rives,,,,False
accommodation,loc,Ivy Cottage,,,,False
city,loc,Germantown,,,,False
,date,"Friday, Christmas Day",,,,False
,date,"[Dec. 25, 1904]",,,,False
,per,Wilson,,,,False
,per,Aunty Lill,,,,False
city,loc,Germantown,,,,False
,per,Alban,,,,False
,per,Emma,,,,False
,per,Aunty Lill,,,,False
,per,Alban,,,,False
,per,Aunty   ,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Saturday, Dec. 26, 1903",,,,False
artist-musician,per,David Bispham,,,,False
club,loc,Arts Club,,,,False
journalist,per,[Mr. Mather],,,,False
,per,Miss Mather,,,,False
,per,[Mr. Corbyn],,,,False
,per,Mrs. Corbyn,,,,False
artist-painter,per,Bryson Burroughs,,,,False
,per,Senda,,,,False
,per,Bessie,,,,False
neighborhood,loc,Flushing,,,,False
artist-painter,per,Bryson,,,,False
stained glass,misc,stained glass,,,,False
,per,Edith,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Sunday, Dec. 27, 1903",,,,False
public figure / businessman,per,[Mr. Laffan],,,,False
,per,Mrs. Laffan,,,,False
art collection,misc,[Laffan's collection of Asian art],,,,False
art described by region,misc,[Chinese things],,,,False
art described by region,misc,Japanese things,,,,False
,per,Johnsons [Mr. Johnson],,,,False
,per,Johnsons [Mrs. Johnson],,,,False
club,loc,Century,,,,False
,per,B. B.,,,,False
cultural heritage institutions,loc,Museum,,,,False
artist-writer,per,Norman,,,,False
,per,Mrs. Lee,,,,False
,per,Putnams [Mr. Putnam],,,,False
,per,Putnams [Mrs. Putnam],,,,False
,per,Bernhard,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Monday, Dec. 28, 1903",,,,False
,per,Miss Isham,,,,False
,per,Mrs. Hewett,,,,False
artist-singer,per,Mrs. Blashfield,,,,False
artist-playwright,per,Bernard Shaw,,,,False
,per,Bernhard,,,,False
artist-writer,per,Norman Hapgood,,,,False
neighborhood,loc,Brooklyn,,,,False
,per,Mrs. Field,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Tuesday, Dec. 29, 1903",,,,False
politial figure,per,Ray,,,,False
,misc,Mill’s Autobiography,,,,False
scholar / public figure,per,Mill,,,,False
artist-painter,per,Mr. Jacacci,,,,False
,per,Florence <Dike> Reynolds,,partial,Florence,False
,per,Miss George B. Gibbs,,,,False
,per,Mr. Kent,,,,False
scholar,per,[Mr. Perry],,partial,Perry,False
,per,Mrs. Perry,,partial,Perry,False
cultural heritage institution,loc,the Metropolitan,,,,False
artist-sculptor,per,Mr. Story,,,,False
,per,Bernhard,,,,False
,per,Senda,,,,False
,per,Bessie,,,,False
,per,Halls [Mr. Hall],,,,False
,per,Halls [Mrs. Hall],,,,False
lawyer,per,Gans,,,,False
,per,Mr. Reynolds,,,,False
,per,Percy Griffin,,,,False
art critic,per,Steins [Mr. Stein],,,,False
,per,Steins [Mrs. Stein],,,,False
lawyer,per,Gans,,,,False
,per,Mr. Sternberger,,,,False
artist-writer,per,Zangwill,,,,False
lawyer,per,Mr. Gans,,,,False
restaurant,loc,Delmonico's,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Wednesday, Dec. 30, 1903",,,,False
,per,Bond,,,,False
business,loc,the Studios,,,,False
artist-sculptor,per,Edith Burroughs,,,,False
business,org,Tifgfany’s,,,,False
,per,Bernhard,,,,False
,per,Mr. Britten,,,,False
,per,Mrs. Young,,,,False
artist-writer,per,Claude Phillips,,,,False
literary,per,Circe,,,,False
artist-actor,per,Duse,,,,False
country,loc,Samoa,,,,False
artist-writer,per,Stevenson,,,,False
artist-playwright,per,Bernard Shaw,,,,False
school,loc,Bryn Mawr,,,,False
artist-playwright,per,Bernard Shaw,,,,False
architect,per,[Mr. Percy Griffin],,,,False
,per,Mrs. Percy Griffin,,,,False
,per,his brother,,,,False
,per,Mr. Stevenson,,,,False
accomodation,loc,Waldorf Astoria,,,,False
artist-poet,per,William Yeats,,,,False
lecture,misc,"""Poetry in the Old Time and New""""",,,,False
,per,Trevy,,,,False
,per,Roger,,,,False
artist-poet,per,Horne,,,,False
artist-poet,per,Stenbock,,,,False
accommodation,loc,Plaza Hotel,,,,False
city,loc,New York,exact,,New York,True
,date,"Thursday, Dec. 31, 1903",,,,False
artist-painter,per,Mr. Jacacci,,,,False
art collector,per,Mr. Lathrop,,,,False
,per,Fafner,,,,False
,per,Florence Mosher,,partial,Florence,False
,per,Mrs. Manson,,,,False
,per,Mrs. Gayley,,,,False
,per,Mrs. Ali Ben Haggin,,,,False
,per,Emilie Hapgood,,,,False
transportation vessel,misc,Twentieth Century Express,,,,False
city,loc,Chicago,,,,False
,date,"Friday, January 1, 1904",,,,False
,per,Fafner,,,,False
,per,Senda ,,,,False
,per,Bessie,,,,False
proper noun adjective,misc,European,,,,False
lecture,misc,“The Art of Portrait Painting”,,,,False
artist-writer,per,Anatole France,,,,False
book,misc,Histoire comique,,,,False
,per,Bernhard,,,,False
,misc,Old Time Folks,,,,False
artist-writer,per,H.H. Stowe,,,,False
accomodation,loc,Auditorium Annex,,,,False
city,loc,Chicago,,,,False
,date,"Saturday, January 2, 1904",,,,False
city,loc,Chicago,,,,False
city,loc,Chicago,,,,False
historic,misc,the terrible theatre fire,,,,False
cultural,org,theatre,,partial,New York Theatre,False
landmark,loc,the Lake,,,,False
,per,Mrs. Gardner,,,,False
artist-musician,per,Proctor,,,,False
cultural heritage institution,loc,the Symphony,,,,False
,misc,Concerto by Liszt,,,,False
artist-composer,per,Liszt,,,,False
public figure,per,the Mayor,,,,False
historic,misc,the accident,,,,False
,per,them,,,,False
artist-musician,per,them,,,,False
,per,Jack Gardner,,,,False
,per,Mrs. Jack Gardner,,,,False
artist-musician,per,Proctor,,,,False
artist-musician,per,he,,partial,The Virginian,False
artist-composer,per,Beethoven,,,,False
,misc,[music by Beethoven],,,,False
artist-composer,per,Scarlatti,,,,False
,misc,[music by Scarlatti],,,,False
,misc,A minor Toccata and Fugue,,partial,fugue,True
artist-composer,per,Bach,exact,,Bach,True
artist-composer,per,Liszt,,,,False
,misc,[music by liszt],,,,False
accomodation,loc,Auditorium Annex,,,,False
city,loc,Chicago,,,,False
,date,"Sunday, January 3, 1904",,,,False
artist-painter,per,Mr. Tarbell,,,,False
artist-writer,per,Mr. Herrick,,,,False
,per,Mrs. Gardner,,,,False
artist-musician,per,Mr. Proctor,,,,False
art collector,per,Mr. Ryerson,,,,False
painting,misc,4 Perugino predelle,,,,False
artist-painter,per,Perugino,,,,False
painting,misc,[painting by Botticini],,,,False
artist-painter,per,Botticini,,,,False
,per,Lillian Prussing,,,,False
lawyer / philanthropist,per,her husband,,,,False
,per,Bond Thomas,,,,False
,per,[Mr. Hercroten],,,,False
,per,Mrs. Hercroten,,,,False
,per,Mrs. Healey,,,,False
public figure,per,the editor of the Tribune,,,,False
newspaper,misc,the Tribune,,,,False
artist-writer,per,the Herricks [Mr. Herrick],,,,False
,per,the Herricks [Mrs. Herrick],,,,False
city,loc,Chicago,,,,False
accomodation,loc,Auditorium Annex,,,,False
city,loc,Chicago,,,,False
,date,"Monday, January 4, 1904",,,,False
street,loc,Lake Shore,,,,False
art dealer,per,Mr. Gunsaulus,,,,False
art collector,per,Mr. Logan,,partial,Logan,False
"art style, period, or movement",org,Barbizon school,,,,False
painting,misc,a fake Holbima,,,,False
artist-painter,per,Holbima,,,,False
?,misc,modern stuff by Israels,,,,False
artist-painter,per,Israels,,,,False
painting,misc,a false Millet,,,,False
artist-painter,per,Millet,,,,False
,per,Mrs. Gardner,,,,False
businessman,per,Mr. Gates,,,,False
businessman,per,Plunger Gates,,,,False
street,loc,Via dei Fossi,,,,False
business,org,Tiffany,,,,False
painting,misc,[paintings by Hoppner],,,,False
artist-painter,per,Hoppner,,,,False
painting,misc,[paintings by Romney],,,,False
artist-painter,per,Romney,,,,False
,per,Mrs. Gardner,,,,False
artist-painter,per,Mr. Bartlett,,,,False
city,loc,Chicago,,,,False
,per,Bernhard,,,,False
businessman / art collector,per,Mr. Deering,,,,False
club,org,the Club,,,,False
,per,Mrs. Gardner,,,,False
artist-musician,per,Mr. Proctor,,,,False
public figure,per,Mrs. Potter Palmer,,,,False
public figure,per,Mrs. MacVeagh,,,,False
city,loc,Chicago,,,,False
public figure,per,Mrs. McCormick,,,,False
public figure,per,Mrs. Potter Palmer,,,,False
,per,Bernhard,,,,False
literary,loc,New Jerusalem,,,,False
painting,misc,Monets by the yard,,,,False
artist-painter,per,Monet,,,,False
,per,B.B.,,,,False
lecture,misc,my lecture,,,,False
,per,Mrs. Martin,,,,False
,per,Miss Jones,,,,False
,per,a newspaper interviewer,,,,False
curator,per,Mr. French,,,,False
art dealer,per,Borel,,,,False
art dealer,per,Bosdari,,,,False
banker,per,Pierpont Morgan,,,,False
scholar,per,Lovett [Mr. Lovett],,,,False
,per,Lovett [Mrs. Lovett],,,,False
club,loc,Quadrangle Club,,,,False
,per,Mr. Tarbell,,,,False
artist-painter,per,Mr. Schwill,,,,False
public figure,per,Mr. Salisbury,,,,False
,per,Mr. Bruer,,,,False
lecture,misc,"my lecture ""How to Enjoy the Old Masters""",,,,False
,per,B.B.,,,,False
,per,Lovett [Mr. Lovett],,,,False
 misc,org,Undergraduates,,,,False
 misc,org,Faculty,,,,False
accomodation,loc,Auditorium Annex,,,,False
city,loc,Chicago,,,,False
,date,"Tuesday, January 5, 1904",,,,False
,per,Bernhard,,,,False
cultural heritage institution,loc,the Gallery,,,,False
art dealer,per,Mr. French,,,,False
,per,Lillian,,,,False
lawyer / philanthropist,per,her husband,,,,False
,loc,Union League Club,,,,False
,per,Lillian,,,,False
